color,fuelTypeId,fuelType,id,km,make,makeId,model,modelId,price,province,provinceId,title,transmissionType,transmissionTypeId,year,seller_type,bodyType,cubicCapacity,doors,hp,url,publicationDate,fecha
BLUE,1,Diésel,54737521,34798,AUDI,4,A3,345,22500,Almería,4,AUDI A3 1.6 TDI S tronic Sportback 5p,AUTOMATIC,1,2017,profesional,Berlina,1598,5,116,https://www.coches.net/audi-a3-16-tdi-s-tronic-sportback-5p-diesel-2017-en-almeria-54737521-covo.aspx,2023-04-05T080149+0200,2023-04-09T153013+0200
RED,2,Gasolina,54641610,178000,AUDI,4,A1,966,8990,Alicante,3,AUDI A1 1.2 TFSI 86cv Attraction 3p,MANUAL,2,2014,particular,Berlina,1197,3,86,https://www.coches.net/audi-a1-12-tfsi-86cv-attraction-3p-gasolina-2014-en-jaen-54641610-covo.aspx,2023-03-21T115535+0100,2023-04-09T153023+0200
GRAY,2,Gasolina,54229249,93000,AUDI,4,Q2,1199,24650,Alicante,3,AUDI Q2 Design 30 TFSI 85kW 116CV 5p,MANUAL,2,2019,profesional,4x4 SUV,999,5,116,https://www.coches.net/audi-q2-design-30-tfsi-85kw-116cv-5p-gasolina-2019-en-alicante-54229249-covo.aspx,2023-04-07T000000+0200,2023-04-09T153035+0200
GRAY,1,Diésel,54534381,133000,AUDI,4,A4,7,21500,Asturias,33,AUDI A4 Avant 2.0 TDI 190CV sport edition 5p,MANUAL,2,2016,particular,Familiar,1968,5,190,https://www.coches.net/audi-a4-avant-20-clean-d-tdi-190cv-s-line-ed-5p-diesel-2016-en-asturias-54534381-covo.aspx,2023-04-09T092942+0200,2023-04-09T153048+0200
WHITE,1,Diésel,54819626,65000,AUDI,4,Q3,999,23700,Alicante,3,AUDI Q3 Sport edition 2.0 TDI 110kW 150CV 5p,MANUAL,2,2017,particular,4x4 SUV,1968,5,150,https://www.coches.net/audi-q3-sport-edition-20-tdi-110kw-150cv-5p-diesel-2017-en-alicante-54819626-covo.aspx,2023-04-08T212306+0200,2023-04-09T153102+0200
BLACK,1,Diésel,54819635,131000,AUDI,4,A4,7,11500,Madrid,28,AUDI A4 Avant 2.0 TDI 150cv multitronic 5p,AUTOMATIC,1,2015,particular,Familiar,1968,5,150,https://www.coches.net/audi-a4-avant-20-tdi-150cv-multitronic-5p-diesel-2015-en-madrid-54819635-covo.aspx,2023-04-08T212343+0200,2023-04-09T153111+0200
WHITE,1,Diésel,54819633,28000,AUDI,4,A1,966,17500,Pontevedra,36,AUDI A1 Sportback 1.4 TDI 90CV ultra Adrenalin,AUTOMATIC,1,2016,profesional,Berlina,1422,5,90,https://www.coches.net/audi-a1-sportback-14-tdi-90cv-ultra-adrenalin-diesel-2016-en-pontevedra-54819633-covo.aspx,2023-04-09T000000+0200,2023-04-09T153121+0200
RED,2,Gasolina,54640116,93231,AUDI,4,Q3,999,25790,Albacete,2,AUDI Q3 Design edition 2.0 TFSI 180CV quat S tro 5p,AUTOMATIC,1,2016,profesional,4x4 SUV,1984,5,180,https://www.coches.net/audi-q3-design-edition-20-tfsi-180cv-quat-s-tro-gasolina-2016-en-albacete-54640116-covo.aspx,2023-04-08T210342+0200,2023-04-09T153136+0200
YELLOW,2,Gasolina,54741464,35000,AUDI,4,Q2,1199,22900,Valencia,46,AUDI Q2 Sport 30 TFSI 85kW 116CV 5p,MANUAL,2,2018,profesional,4x4 SUV,999,5,116,https://www.coches.net/audi-q2-sport-30-tfsi-85kw-116cv-gasolina-2018-en-valencia-54741464-covo.aspx,2023-04-09T081840+0200,2023-04-09T153145+0200
GRAY,1,Diésel,54817318,63700,AUDI,4,Q3,999,29499,Barcelona,8,AUDI Q3 Advanced 35 TDI 110kW 150CV S tronic 5p,AUTOMATIC,1,2019,particular,4x4 SUV,1968,5,150,https://www.coches.net/audi-q3-advanced-35-tdi-110kw-150cv-s-tronic-5p-diesel-2019-en-barcelona-54817318-covo.aspx,2023-04-08T204102+0200,2023-04-09T153201+0200
