,fuelType,fuelTypeId,color,id,km,make,makeId,model,modelId,province,provinceId,price,title,transmissionType,transmissionTypeId,year,seller_type,seller_type_id,body_types,body_types_id,cubicCapacity,doors,hp,url,date
0,Diésel,1.0,COMMON.COLOR_BLACK,53501300.0,170000.0,BMW,7.0,X3,515.0,Madrid,28.0,17490.0,BMW X3 sDrive18d,COMMON.TRANSMISSION_MANUAL,2.0,2015.0,profesional,1.0,4x4 suv,6.0,1995.0,5.0,150.0,https://www.coches.net/bmw-x3-sdrive18d-diesel-2015-en-madrid-53501300-covo.aspx,2023-04-08 21:24:06
1,Diésel,1.0,COMMON.COLOR_WHITE,54722839.0,88000.0,BMW,7.0,Serie 5,71.0,Murcia,30.0,30500.0,BMW Serie 5 520dA Touring 5p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2018.0,particular,2.0,familiar,4.0,1995.0,5.0,190.0,https://www.coches.net/bmw-serie-5-520da-touring-5p-diesel-2018-en-murcia-54722839-covo.aspx,2023-04-08 21:24:14
2,Diésel,1.0,COMMON.COLOR_BLACK,54738428.0,74500.0,BMW,7.0,X5,438.0,Alicante,3.0,74999.0,BMW X5 xDRIVE30d 5p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2020.0,profesional,1.0,4x4 suv,6.0,2993.0,5.0,265.0,https://www.coches.net/bmw-x5-xdrive30d-5p-diesel-2020-en-alicante-54738428-covo.aspx,2023-04-08 21:24:16
3,Gasolina,2.0,COMMON.COLOR_BLUE,54594808.0,39956.0,BMW,7.0,Serie 1,539.0,Madrid,28.0,32000.0,BMW Serie 1 118i Corporate Auto. 5p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2021.0,particular,2.0,berlina,1.0,1499.0,5.0,136.0,https://www.coches.net/bmw-serie-1-118i-corporate-auto-5p-gasolina-2021-en-madrid-54594808-covo.aspx,2023-04-08 21:24:18
4,Diésel,1.0,COMMON.COLOR_BLACK,53851852.0,96267.0,BMW,7.0,Serie 2 Gran Tourer,1159.0,Madrid,28.0,17950.0,BMW Serie 2 Gran Tourer 218d 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2016.0,profesional,1.0,monovolumen,5.0,1995.0,5.0,150.0,https://www.coches.net/bmw-serie-2-gran-tourer-218d-5p-diesel-2016-en-madrid-53851852-covo.aspx,2023-04-08 21:24:20
5,Diésel,1.0,COMMON.COLOR_WHITE,54819334.0,129000.0,BMW,7.0,X4,1119.0,Málaga,29.0,38500.0,BMW X4 xDrive20d 5p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2019.0,particular,2.0,4x4 suv,6.0,1995.0,5.0,190.0,https://www.coches.net/bmw-x4-xdrive20d-5p-diesel-2019-en-malaga-54819334-covo.aspx,2023-04-08 21:24:21
6,Diésel,1.0,COMMON.COLOR_BLACK,54819326.0,58500.0,BMW,7.0,X3,515.0,Valladolid,47.0,37000.0,BMW X3 XDRIVE20D 5p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2018.0,particular,2.0,4x4 suv,6.0,1995.0,5.0,190.0,https://www.coches.net/bmw-x3-xdrive20d-5p-diesel-2018-en-valladolid-54819326-covo.aspx,2023-04-08 21:24:24
7,Gasolina,2.0,COMMON.COLOR_GRAY,54819249.0,110000.0,BMW,7.0,Serie 5,71.0,Barcelona,8.0,19500.0,BMW Serie 5 520I 4p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2016.0,particular,2.0,berlina,1.0,1997.0,4.0,184.0,https://www.coches.net/bmw-serie-5-520i-4p-gasolina-2016-en-barcelona-54819249-covo.aspx,2023-04-08 21:24:28
8,Gasolina,2.0,COMMON.COLOR_GRAY,54812694.0,89600.0,BMW,7.0,Serie 4,1084.0,Barcelona,8.0,31000.0,BMW Serie 4 420i Gran Coupe 5p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2020.0,profesional,1.0,berlina,1.0,1998.0,5.0,184.0,https://www.coches.net/bmw-serie-4-420i-gran-coupe-gasolina-2020-en-barcelona-54812694-covo.aspx,2023-04-08 21:24:30
9,Diésel,1.0,COMMON.COLOR_WHITE,54444786.0,116000.0,BMW,7.0,X5,438.0,Barcelona,8.0,28900.0,BMW X5 sDrive25D 5p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2015.0,profesional,1.0,4x4 suv,6.0,1995.0,5.0,218.0,https://www.coches.net/bmw-x5-sdrive25d-diesel-2015-en-barcelona-54444786-covo.aspx,2023-04-08 21:24:31
10,Diésel,1.0,COMMON.COLOR_BLACK,54819194.0,128000.0,BMW,7.0,X1,944.0,Jaén,23.0,23900.0,BMW X1 sDrive18dA Business,COMMON.TRANSMISSION_AUTOMATIC,1.0,2018.0,profesional,1.0,4x4 suv,6.0,1995.0,5.0,150.0,https://www.coches.net/bmw-x1-sdrive18da-business-diesel-2018-en-jaen-54819194-covo.aspx,2023-04-08 21:24:33
11,Diésel,1.0,COMMON.COLOR_WHITE,54703224.0,14900.0,BMW,7.0,X3,515.0,Barcelona,8.0,38500.0,BMW X3 XDRIVE20D 5p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2019.0,profesional,1.0,4x4 suv,6.0,1995.0,5.0,190.0,https://www.coches.net/bmw-x3-xdrive20d-diesel-2019-en-barcelona-54703224-covo.aspx,2023-04-08 21:24:35
12,Gasolina,2.0,COMMON.COLOR_GRAY,54534210.0,83000.0,BMW,7.0,Serie 5,71.0,Asturias,33.0,77900.0,BMW Serie 5 M5 4p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2019.0,profesional,1.0,berlina,1.0,4395.0,4.0,600.0,https://www.coches.net/bmw-serie-5-m5-gasolina-2019-en-asturias-54534210-covo.aspx,2023-04-08 21:24:37
13,Gasolina,2.0,COMMON.COLOR_BLACK,54635023.0,103000.0,BMW,7.0,Serie 4,1084.0,Asturias,33.0,48900.0,BMW Serie 4 M4 2p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2016.0,profesional,1.0,coupe,2.0,2979.0,2.0,431.0,https://www.coches.net/bmw-serie-4-m4-gasolina-2016-en-asturias-54635023-covo.aspx,2023-04-08 21:24:39
14,Diésel,1.0,COMMON.COLOR_WHITE,54555501.0,109959.0,BMW,7.0,Serie 3,70.0,Madrid,28.0,18450.0,BMW Serie 3 318d 4p.,COMMON.TRANSMISSION_MANUAL,2.0,2016.0,profesional,1.0,berlina,1.0,1995.0,4.0,150.0,https://www.coches.net/bmw-serie-3-318d-4p-diesel-2016-en-madrid-54555501-covo.aspx,2023-04-08 21:24:40
15,Diésel,1.0,COMMON.COLOR_GRAY,54657303.0,97102.0,BMW,7.0,X3,515.0,Valencia,46.0,38500.0,BMW X3 XDRIVE20D 5p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2019.0,profesional,1.0,4x4 suv,6.0,1995.0,5.0,190.0,https://www.coches.net/bmw-x3-xdrive20d-5p-diesel-2019-en-valencia-54657303-covo.aspx,2023-04-08 21:24:42
16,Diésel,1.0,COMMON.COLOR_WHITE,54668574.0,34000.0,BMW,7.0,Serie 1,539.0,Las Palmas,35.0,26900.0,BMW Serie 1 118d,COMMON.TRANSMISSION_AUTOMATIC,1.0,2020.0,profesional,1.0,berlina,1.0,1995.0,5.0,150.0,https://www.coches.net/bmw-serie-1-118d-diesel-2020-en-las_palmas-54668574-covo.aspx,2023-04-08 21:24:44
17,Diésel,1.0,COMMON.COLOR_BLUE,54689818.0,100800.0,BMW,7.0,Serie 5,71.0,Madrid,28.0,31900.0,BMW Serie 5 525DA TOURING,COMMON.TRANSMISSION_AUTOMATIC,1.0,2018.0,profesional,1.0,familiar,4.0,1995.0,5.0,231.0,https://www.coches.net/bmw-serie-5-525da-touring-diesel-2018-en-madrid-54689818-covo.aspx,2023-04-08 21:24:45
